Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Socioeconomic_Score,Final_Result,Pass_Probability,Risk_Level
STU0001,4.807211366744669,51.10797573031718,48.31939786151342,67.2702994208898,70.03971147985149,4.542719682496979,0,0.44076338963699824,Medium Risk
STU0002,11.433214523714035,72.51405684270148,47.28851593503999,79.66813971913723,86.38026305099905,5.260920934375193,1,0.7480857141902127,Low Risk
STU0003,8.917930330831158,92.37675015258449,93.43782063647257,25.046789879249896,83.21126508531114,8.690926538819623,0,0.8085900562849248,Low Risk
STU0004,7.384572568265921,83.93349318457368,47.46823398946543,62.48740996069989,40.772993328564155,4.060039474539029,0,0.4603184911888535,Medium Risk
STU0005,2.29421436508802,88.39366887168698,49.03648082900417,57.17459831437487,40.44746288190318,8.826847163309541,1,0.4047086886194013,Medium Risk
STU0006,2.29393698386633,79.52700200264304,83.15787836925746,83.28303767882711,48.77220574214393,1.7932098787902233,0,0.8106030117822277,Low Risk
STU0007,1.1679615399342937,81.53659387107115,61.481788971537796,90.60870604812605,55.275230843872606,7.991185934877676,1,0.7305155888276912,Low Risk
STU0008,10.461025676411754,90.95173909391916,84.36973898686269,1.2156771477386807,58.59189069859379,8.627928697492628,1,0.5103524096014563,Medium Risk
STU0009,7.4128226350469015,54.98008053155115,34.575631029506965,67.40199190587927,77.57880517833416,2.6363588755360485,0,0.4216498851262883,Medium Risk
STU0010,8.642834644654522,69.36549781858844,64.12998355713691,5.1835799119729025,33.967630251608476,4.873118791349804,0,0.178019347306894,High Risk
STU0011,0.7367216844017281,53.27256650917613,32.35295201282978,54.88586650773559,32.42708929582464,2.4894979719729005,0,0.1283181329942851,High Risk
STU0012,11.653963299862935,99.26008047979883,34.38572424187482,28.76327290436782,57.43373940607363,7.35943716094796,0,0.34435248396040913,High Risk
STU0013,10.07309036920485,96.64356038119679,93.45062173410876,30.67765995221412,78.80145844965864,5.818129912554911,0,0.8415454161242141,Low Risk
STU0014,2.9418997728001757,42.365608682110356,39.74717597823166,35.29585034523566,43.54047400695378,6.717910120374889,0,0.10140677017583102,High Risk
STU0015,2.590987122881657,82.33451035094131,67.2694477592652,62.12924490496101,74.90531368793762,2.7683827026059005,1,0.7338495114562291,Low Risk
STU0016,2.609151863314489,95.51489904493995,58.77669218204946,33.40499656687692,48.187969655820964,2.9057127584717755,0,0.43697370725649437,Medium Risk
STU0017,3.998785794034684,50.83452070764001,54.31403283811899,73.26990505902803,92.02602761694615,1.3734759295891572,1,0.6422649037594245,Low Risk
STU0018,6.534698963770735,74.07671383315777,92.98833419810907,40.45273855738697,92.69829609866315,3.8986078167615674,1,0.8306686749464043,Low Risk
STU0019,5.467367714384332,94.92929785528251,31.527637774284266,6.835320030995861,50.81010429969285,6.037701952003075,0,0.15209703076734446,High Risk
STU0020,3.849135112277482,42.03675871514793,76.46527803229124,78.37598424841073,46.09956277742684,8.721414225975959,1,0.5364416783787526,Medium Risk
STU0021,7.536308289307364,81.84521603481039,97.43761039494854,28.5758324592706,58.79127804463619,7.002347027128127,1,0.7072366835638009,Low Risk
STU0022,2.104179397498481,57.840940442353045,69.21177284232894,43.276687959926264,46.83721096261041,4.918566910597763,0,0.353165151276872,High Risk
STU0023,3.859663458155009,95.46377172259182,95.57757234231643,68.54438832219016,77.06686903041926,9.57808102954724,1,0.9152265482298685,Low Risk
STU0024,4.713161197877454,98.26349470992207,33.65805155002166,33.2456157148712,87.82452791837999,7.473206805182487,1,0.4587090313145801,Medium Risk
STU0025,5.744804818495913,96.65598934680604,59.31553233519129,5.658565614671563,77.11644916378519,9.37148682576295,1,0.4261282292003869,Medium Risk
STU0026,9.529523556019656,68.45285299944783,48.21104536734358,37.39210470128136,87.70453130745446,5.748291759449491,1,0.476589754938976,Medium Risk
STU0027,2.796248494821137,91.72255905935882,81.15746754865108,94.44485826943034,57.78945135452319,3.3301384731382564,1,0.8945369334947256,Low Risk
STU0028,6.413696041756533,90.67296391210422,98.69079633480726,64.17343972985582,40.94218794962026,1.4754401772824979,1,0.8454153825566678,Low Risk
STU0029,7.312767541913488,59.146028394595334,47.957104371097344,67.1479148667207,81.65656631783145,7.534763663354655,0,0.5536620179316338,Medium Risk
